SPECIES,NAME,BOTNAME,SPECIES_GROUP,OLD_Species_Group,SPECIES_TYPE,NATIVE,SPECIES_FAMILY
XOK,Other oak spp,Quercus spp.,,,Broadleaf,No,
XP,Other pines,Pinus spp,Pines,Pine,Conifer,No,Pinaceae
XPO,Other poplar spp,Populus spp,Willows,Poplar,Broadleaf,No,Salicaceae
XS,Other spruces,Picea spp,Spruces,Spruce,Conifer,No,Pinaceae
XWA,Other walnut,Juglans spp,Walnuts,Walnut,Broadleaf,No,Juglandaceae
XWL,Other willows,Salix spp,Willows,Willow,Broadleaf,Yes,Salicaceae
BPA,Paper-bark birch,Betula papyrifera,Birches,Birch,Broadleaf,No,Betulaceae
POK,Pedunculate/common oak,Quercus robur,,,Broadleaf,Yes,
XPL,Plane spp,Platanus spp,Planes,Plane,Broadleaf,Yes,Platanaceae
PDP,Ponderosa pine,Pinus ponderosa,Pines,Pine,Conifer,No,Pinaceae
QPY,Pyrenean oak,Quercus pyrenaica,Oaks,Oak,Broadleaf,No,Fagaceae
RAN,Raoul/rauli,Nothofagus nervosa,Nothofaguss,Nothofagus,Broadleaf,No,Nothofagaceae
RF,Red (pacific silver) fir,Abies amabilis,Firs,Fir,Conifer,No,Pinaceae
RAR,Red alder,Alnus rubra,Alders,Alder,Broadleaf,Yes,Betulaceae
FPE,Red ash,Fraxinus pennsylvanica,Ashes,Ash,Broadleaf,No,Oleaceae
ROK,Red oak,Quercus borealis,Oaks,Oak,Broadleaf,No,Fagaceae
RON,Roble,Nothofagus obliqua,Nothofaguss,Nothofagus,Broadleaf,No,Nothofagaceae
ROW,Rowan,Sorbus aucuparia,Sorbuss,Sorbus,Broadleaf,Yes,Rosaceae
SP,Scots pine,Pinus sylvestris,Pines,Pine,Conifer,No,Pinaceae
OMS,Serbian spruce,Picea omorika,Spruces,Spruce,Conifer,No,Pinaceae
SOK,Sessile oak,Quercus petraea,Oaks,Oak,Broadleaf,Yes,Fagaceae
COV,Shagbark hickory,Carya ovata,Walnuts,Walnut,Broadleaf,No,Juglandaceae
ENI,Shining gum,Eucalyptus nitens,Eucalypti,Eucalyptus,Broadleaf,No,Myrtaceae
SBI,Silver birch,Betula pendula,Birches,Birch,Broadleaf,Yes,Betulaceae
ASA,Silver maple,Acer saccharinum,Maples,Maple,Broadleaf,No,Sapindaceae
SS,Sitka spruce,Picea sitchensis,Spruces,Spruce,Conifer,No,Pinaceae
PEL,Slash pine,Pinus ellottii,Pines,Pine,Conifer,No,Pinaceae
SLI,Small-leaved lime,Tilia cordata,Limes,Lime,Broadleaf,Yes,Malvaceae
SEM,Smooth-leaved elm,Ulmus carpinifolia,Elms,Elm,Broadleaf,Yes,Ulmaceae
SC,Sweet chestnut,Castanea sativa,Chestnuts,Chestnut,Broadleaf,No,Fagaceae
SY,Sycamore,Acer pseudoplatanus,Maples,Maple,Broadleaf,No,Sapindaceae
TUL,Tulip tree,Liriodendron tulipifera,Magnolias,TulipTree,Broadleaf,Yes,Magnoliaceae
QCE,Turkey oak,Quercus cerris,Oaks,Oak,Broadleaf,No,Fagaceae
WSQ,Wellingtonia,Sequoiadendron giganteum,Cypresses,Sequoia,Conifer,No,Cupressaceae
WH,Western hemlock,Tsuga heterophylla,Hemlocks,Fir,Conifer,No,Pinaceae
RC,Western red cedar,Thuja plicata,Cypresses,Cypress,Conifer,No,Cupressaceae
PMO,Western white pine,Pinus monticola,Pines,Pine,Conifer,No,Pinaceae
